Model,MAE,RMSE,MAPE,R2,Directional Accuracy
Baseline (Naive),38.05392907303371,54.47015474311078,0.22501731733109764,0.9909113424391427,40.99099099099099
XGBoost,1228.1734191011237,1352.102567966822,7.186027386679072,-4.6001775684066395,46.62162162162162
XGBoost External,1175.992511235955,1304.740363227227,6.876031908112101,-4.214716683940621,47.072072072072075
