Date,Close,Open,High,Low,Change %,dxy_close,gold_close,oil_close,vix_close,ihsg_close,sp500_close,us10y_close
2015-01-29,12567.5,12502.5,12567.5,12502.5,0.65,94.77999877929688,1254.5999755859375,44.52999877929688,18.76000022888184,5262.5126953125,2021.25,1.7510000467300415
2015-01-30,12667.5,12592.5,12667.5,12582.5,0.8,94.8000030517578,1278.5,48.2400016784668,20.96999931335449,5289.19775390625,1994.989990234375,1.6749999523162842
2015-02-02,12685.0,12683.0,12718.0,12680.0,0.14,94.5,1276.199951171875,49.56999969482422,19.43000030517578,5276.03076171875,2020.8499755859373,1.6729999780654907
2015-02-03,12654.0,12674.0,12674.0,12609.0,-0.24,93.5999984741211,1259.699951171875,53.04999923706055,17.329999923706055,5291.51171875,2050.030029296875,1.7799999713897705
2015-02-04,12625.0,12605.0,12640.0,12585.0,-0.23,93.98999786376952,1263.800048828125,48.45000076293945,18.32999992370605,5315.0771484375,2041.510009765625,1.7970000505447388
2015-02-05,12632.5,12631.5,12660.5,12627.5,0.06,94.6999969482422,1262.0,50.47999954223633,16.850000381469727,5279.689453125,2062.52001953125,1.815000057220459
2015-02-06,12614.5,12633.5,12633.5,12603.5,-0.14,94.6999969482422,1233.9000244140625,51.68999862670898,17.290000915527344,5342.30712890625,2055.469970703125,1.937999963760376
2015-02-09,12647.5,12632.5,12692.5,12632.5,0.26,94.4499969482422,1240.800048828125,52.86000061035156,18.549999237060547,5348.26220703125,2046.739990234375,1.9479999542236328
2015-02-10,12672.5,12652.5,12672.5,12637.5,0.2,94.76000213623048,1231.5999755859375,50.02000045776367,17.229999542236328,5321.2666015625,2068.590087890625,1.991000056266785
2015-02-11,12715.0,12680.0,12720.0,12680.0,0.34,94.98999786376952,1219.0,48.84000015258789,16.959999084472656,5336.3115234375,2068.530029296875,1.9880000352859497
2015-02-12,12792.5,12752.5,12837.5,12752.5,0.61,94.08999633789062,1220.0999755859375,51.209999084472656,15.34000015258789,5343.203125,2088.47998046875,1.9859999418258667
2015-02-13,12787.5,12737.5,12787.5,12737.5,-0.04,94.1999969482422,1226.5,52.77999877929688,14.6899995803833,5373.95556640625,2096.989990234375,2.0209999084472656
2015-02-16,12752.5,12752.5,12767.5,12732.5,-0.27,94.1999969482422,1226.5,52.77999877929688,14.6899995803833,5325.28759765625,2096.989990234375,2.0209999084472656
