Date,Close,Open,High,Low,Change %,dxy_close,gold_close,oil_close,vix_close,ihsg_close,sp500_close,us10y_close,lag_1,lag_2,lag_3,lag_7,lag_14,lag_30,ma_7,ma_14,ma_30,ma_60,std_7,std_14,std_30,return_1,rsi_14,macd,macd_signal,day_of_week,month,quarter,is_month_end,is_month_start,day_of_month,week_of_year,dxy_return,gold_return,oil_return,vix_return,ihsg_return,sp500_return,us10y_return,corr_dxy_30,corr_gold_30,target_next_day
2015-02-06,12614.5,12633.5,12633.5,12603.5,-0.14,94.6999969482422,1233.9000244140625,51.68999862670898,17.290000915527344,5342.30712890625,2055.469970703125,1.937999963760376,12632.5,12625.0,12654.0,,,,12635.142857142857,,,,38.729526081223625,,,-0.001424896101325901,,17.911392438991243,12.792916160205932,4,2,1,0,0,6,6,0.0,-0.0222662247115194,0.0239698711459031,0.026112790747559567,0.01186010585228403,-0.0034181723141418763,0.06776854141166377,,,12647.5
2015-02-09,12647.5,12632.5,12692.5,12632.5,0.26,94.4499969482422,1240.800048828125,52.86000061035156,18.549999237060547,5348.26220703125,2046.739990234375,1.9479999542236328,12614.5,12632.5,12625.0,12567.5,,,12646.57142857143,,,,24.707334557826787,,,0.0026160371001624494,,19.29464692267902,14.093262312700551,0,2,1,0,0,9,7,-0.002639915607775989,0.00559204496112975,0.022634978036893072,0.07287439299101806,0.0011147015664407789,-0.004247194360987749,0.005159953895898628,,,12672.5
2015-02-10,12672.5,12652.5,12672.5,12637.5,0.2,94.76000213623048,1231.5999755859375,50.02000045776367,17.229999542236328,5321.2666015625,2068.590087890625,1.991000056266785,12647.5,12614.5,12632.5,12667.5,,,12647.285714285714,,,,25.47360912601043,,,0.001976675232259417,,22.152813291122584,15.705172508384958,1,2,1,0,0,10,7,0.003282214907409209,-0.0074146299807744676,-0.053726827843277314,-0.07115901612475684,-0.005047547114137241,0.010675561019232394,0.022073974873520807,,,12715.0
2015-02-11,12715.0,12680.0,12720.0,12680.0,0.34,94.98999786376952,1219.0,48.84000015258789,16.959999084472656,5336.3115234375,2068.530029296875,1.9880000352859497,12672.5,12647.5,12614.5,12685.0,,,12651.57142857143,,,,33.9796858081271,,,0.0033537186821859244,,27.52997710353702,18.07013342741537,2,2,1,0,0,11,7,0.0024271393241253048,-0.010230574728570474,-0.023590569659673655,-0.015670369410156537,0.002827319696889985,-2.903358867545336e-05,-0.0015067910075604596,,,12792.5
2015-02-12,12792.5,12752.5,12837.5,12752.5,0.61,94.08999633789062,1220.0999755859375,51.209999084472656,15.34000015258789,5343.203125,2088.47998046875,1.9859999418258667,12715.0,12672.5,12647.5,12654.0,,,12671.357142857143,,,,63.301339036464945,,,0.006095163193079012,,37.61145898387804,21.978398538707907,3,2,1,0,0,12,7,-0.009474697822076328,0.0009023589712366942,0.048525776504511065,-0.09551881010229057,0.0012914541312349925,0.009644506431775834,-0.0010060832115605933,,,12787.5
2015-02-13,12787.5,12737.5,12787.5,12737.5,-0.04,94.1999969482422,1226.5,52.77999877929688,14.6899995803833,5373.95556640625,2096.989990234375,2.0209999084472656,12792.5,12715.0,12672.5,12625.0,,,12694.57142857143,,,,72.58353151796194,,,-0.0003908540160250107,,44.68257488461495,26.519233807889314,4,2,1,0,0,13,7,0.0011690999535864943,0.005245491797497115,0.03065806918360714,-0.04237291823591893,0.005755431842439984,0.004074738491730789,0.01762334725408965,,,12752.5
2015-02-16,12752.5,12752.5,12767.5,12732.5,-0.27,94.1999969482422,1226.5,52.77999877929688,14.6899995803833,5325.28759765625,2096.989990234375,2.0209999084472656,12787.5,12792.5,12715.0,12632.5,,,12711.714285714286,,,,69.58918566777926,,,-0.002737047898338174,,46.92139703038083,30.599666452387616,0,2,1,0,0,16,8,0.0,0.0,0.0,0.0,-0.009056265566137922,0.0,0.0,,,12769.5
2015-02-17,12769.5,12741.5,12771.5,12740.5,0.13,94.05999755859376,1208.0999755859375,53.52999877929688,15.800000190734863,5337.29345703125,2100.340087890625,2.1449999809265137,12752.5,12787.5,12792.5,12614.5,,,12733.857142857143,12684.5,,,57.026831612929165,69.40294828585643,,0.001333071946677089,73.05936073059361,49.49686854594802,34.379106871099694,1,2,1,0,0,17,8,-0.001486193144203174,-0.015002058225896842,0.014209928331680555,0.07556165024223915,0.0022544997157118996,0.0015975744623728527,0.06135580311555655,,,12842.5
2015-02-18,12842.5,12787.5,12847.5,12787.5,0.57,94.1999969482422,1199.699951171875,52.13999938964844,15.449999809265137,5390.23974609375,2099.679931640625,2.065999984741211,12769.5,12752.5,12787.5,12647.5,12567.5,,12761.714285714286,12704.142857142857,,,55.416496598377066,72.58481208252162,,0.005716746936058614,76.90802348336595,56.77398305477254,38.858082107834264,2,2,1,0,0,18,8,0.001488405201809817,-0.00695308714826226,-0.02596673680825934,-0.022151922610416652,0.009920063322122585,-0.0003143092177338991,-0.0368298353789166,,,12842.5
2015-02-19,12842.5,12842.5,12842.5,12842.5,0.0,94.4000015258789,1207.0999755859375,51.15999984741211,15.289999961853027,5390.23974609375,2097.449951171875,2.11299991607666,12842.5,12769.5,12752.5,12672.5,12667.5,,12786.0,12716.642857142857,,,46.30424746535841,80.43330456668129,,0.0,71.28953771289537,61.82842908812745,43.45215150389291,3,2,1,0,0,19,8,0.0021231909141843364,0.0061682293200346905,-0.018795541881630573,-0.010355977306624964,0.0,-0.0010620573331896477,0.02274924089185637,,,12812.5
2015-02-20,12812.5,12852.5,12867.5,12802.5,-0.23,94.25,1204.4000244140625,50.34000015258789,14.300000190734863,5399.8935546875,2110.300048828125,2.132999897003174,12842.5,12842.5,12769.5,12715.0,12685.0,,12799.92857142857,12725.75,,,34.56326153040037,83.72568533380564,,-0.0023359937706832756,65.05312868949233,62.69070527849726,47.29986225881378,4,2,1,0,0,20,8,-0.0015889991891343547,-0.0022367253968044176,-0.016028141072516044,-0.0647481866310079,0.0017909794459043393,0.006126533626735764,0.009465206682851557,,,12834.5
2015-02-23,12834.5,12812.5,12835.5,12802.5,0.17,94.56999969482422,1200.300048828125,49.45000076293945,14.5600004196167,5403.06640625,2109.659912109375,2.059000015258789,12812.5,12842.5,12842.5,12792.5,12654.0,,12805.92857142857,12738.642857142857,,,36.641766436934226,85.70127648529454,,0.0017170731707316644,71.77322074788901,64.40683955552595,50.721257718156224,0,2,1,0,0,23,9,0.0033952222262516596,-0.0034041643165294566,-0.01767976533473814,0.018181833945029924,0.0005875766865339749,-0.0003033391953459752,-0.034692867003112915,,,12897.5
2015-02-24,12897.5,12842.5,12899.5,12802.5,0.49,94.48999786376952,1196.9000244140625,49.27999877929688,13.6899995803833,5417.10302734375,2115.47998046875,1.9880000352859497,12834.5,12812.5,12842.5,12787.5,12625.0,,12821.642857142857,12758.107142857143,,,48.9436021403812,88.7945291478793,,0.004908644668666584,80.37904124860647,70.04304915085777,54.58561600469653,1,2,1,0,0,24,9,-0.0008459535932416884,-0.002832645401774303,-0.003437856036798692,-0.059752803170338264,0.002597899051826058,0.002758770892866691,-0.034482748638501426,,,12873.5
