Date,dxy_close,gold_close,oil_close,vix_close,ihsg_close,sp500_close,us10y_close
2015-01-02,91.08000183105469,1186.0,52.689998626708984,17.790000915527344,5242.56494140625,2058.199951171875,2.122999906539917
2015-01-05,91.37999725341797,1203.9000244140625,50.040000915527344,19.920000076293945,5219.7919921875,2020.5799560546875,2.0390000343322754
2015-01-06,91.5,1219.300048828125,47.93000030517578,21.1200008392334,5168.8583984375,2002.6099853515625,1.9630000591278076
2015-01-07,91.88999938964844,1210.5999755859375,48.650001525878906,19.309999465942383,5206.9150390625,2025.9000244140625,1.9539999961853027
2015-01-08,92.37000274658203,1208.4000244140625,48.790000915527344,17.010000228881836,5211.625,2062.139892578125,2.0160000324249268
2015-01-09,91.94000244140625,1216.0,48.36000061035156,17.549999237060547,5216.4619140625,2044.81005859375,1.9709999561309814
2015-01-12,91.9800033569336,1232.699951171875,46.06999969482422,19.600000381469727,5187.7314453125,2028.260009765625,1.9119999408721924
2015-01-13,92.30999755859375,1234.300048828125,45.88999938964844,20.559999465942383,5214.15576171875,2023.030029296875,1.8899999856948853
2015-01-14,92.16000366210938,1234.4000244140625,48.47999954223633,21.479999542236328,5159.46728515625,2011.27001953125,1.8370000123977661
2015-01-15,92.3499984741211,1264.699951171875,46.25,22.389999389648438,5188.51025390625,1992.6700439453125,1.774999976158142
2015-01-16,92.5199966430664,1276.9000244140625,48.689998626708984,20.950000762939453,5148.1787109375,2019.4200439453125,1.815000057220459
2015-01-19,,,,,5151.892578125,,
2015-01-20,93.05000305175781,1294.199951171875,46.38999938964844,19.889999389648438,5165.888671875,2022.550048828125,1.8070000410079956
2015-01-21,92.9000015258789,1293.699951171875,47.779998779296875,18.850000381469727,5215.06298828125,2032.1199951171875,1.8530000448226929
2015-01-22,94.23999786376953,1300.699951171875,46.310001373291016,16.399999618530273,5252.978515625,2063.14990234375,1.8960000276565552
2015-01-23,95.0,1292.5999755859375,45.59000015258789,16.65999984741211,5323.67724609375,2051.820068359375,1.8170000314712524
2015-01-26,94.80000305175781,1279.4000244140625,45.150001525878906,15.520000457763672,5259.81884765625,2057.090087890625,1.8279999494552612
2015-01-27,94.0199966430664,1291.699951171875,46.22999954223633,17.219999313354492,5276.94384765625,2029.550048828125,1.8250000476837158
2015-01-28,94.47000122070312,1285.9000244140625,44.45000076293945,20.440000534057617,5268.64697265625,2002.1600341796875,1.7239999771118164
2015-01-29,94.77999877929688,1254.5999755859375,44.529998779296875,18.760000228881836,5262.5126953125,2021.25,1.7510000467300415
2015-01-30,94.80000305175781,1278.5,48.2400016784668,20.969999313354492,5289.19775390625,1994.989990234375,1.6749999523162842
2015-02-02,94.5,1276.199951171875,49.56999969482422,19.43000030517578,5276.03076171875,2020.8499755859375,1.6729999780654907
2015-02-03,93.5999984741211,1259.699951171875,53.04999923706055,17.329999923706055,5291.51171875,2050.030029296875,1.7799999713897705
2015-02-04,93.98999786376953,1263.800048828125,48.45000076293945,18.329999923706055,5315.0771484375,2041.510009765625,1.7970000505447388
2015-02-05,94.69999694824219,1262.0,50.47999954223633,16.850000381469727,5279.689453125,2062.52001953125,1.815000057220459
2015-02-06,94.69999694824219,1233.9000244140625,51.689998626708984,17.290000915527344,5342.30712890625,2055.469970703125,1.937999963760376
2015-02-09,94.44999694824219,1240.800048828125,52.86000061035156,18.549999237060547,5348.26220703125,2046.739990234375,1.9479999542236328
2015-02-10,94.76000213623047,1231.5999755859375,50.02000045776367,17.229999542236328,5321.2666015625,2068.590087890625,1.9910000562667847
2015-02-11,94.98999786376953,1219.0,48.84000015258789,16.959999084472656,5336.3115234375,2068.530029296875,1.9880000352859497
2015-02-12,94.08999633789062,1220.0999755859375,51.209999084472656,15.34000015258789,5343.203125,2088.47998046875,1.9859999418258667
2015-02-13,94.19999694824219,1226.5,52.779998779296875,14.6899995803833,5373.95556640625,2096.989990234375,2.0209999084472656
2015-02-16,,,,,5325.28759765625,,
2015-02-17,94.05999755859375,1208.0999755859375,53.529998779296875,15.800000190734863,5337.29345703125,2100.340087890625,2.1449999809265137
2015-02-18,94.19999694824219,1199.699951171875,52.13999938964844,15.449999809265137,5390.23974609375,2099.679931640625,2.065999984741211
2015-02-19,94.4000015258789,1207.0999755859375,51.15999984741211,15.289999961853027,,2097.449951171875,2.11299991607666
2015-02-20,94.25,1204.4000244140625,50.34000015258789,14.300000190734863,5399.8935546875,2110.300048828125,2.132999897003174
2015-02-23,94.56999969482422,1200.300048828125,49.45000076293945,14.5600004196167,5403.06640625,2109.659912109375,2.059000015258789
2015-02-24,94.48999786376953,1196.9000244140625,49.279998779296875,13.6899995803833,5417.10302734375,2115.47998046875,1.9880000352859497
2015-02-25,94.20999908447266,1201.0,50.9900016784668,13.84000015258789,5444.89599609375,2113.860107421875,1.968999981880188
2015-02-26,95.29000091552734,1209.5999755859375,48.16999816894531,13.90999984741211,5451.2099609375,2110.739990234375,2.0160000324249268
2015-02-27,95.25,1212.5999755859375,49.7599983215332,13.34000015258789,5450.08203125,2104.5,2.002000093460083
2015-03-02,95.45999908447266,1207.699951171875,49.59000015258789,13.039999961853027,5477.61767578125,2117.389892578125,2.0840001106262207
2015-03-03,95.37999725341797,1204.0,50.52000045776367,13.859999656677246,5474.40576171875,2107.780029296875,2.121999979019165
2015-03-04,95.97000122070312,1200.5999755859375,51.529998779296875,14.229999542236328,5447.84716796875,2098.530029296875,2.122999906539917
2015-03-05,96.37999725341797,1195.9000244140625,50.7599983215332,14.039999961853027,5450.73486328125,2101.0400390625,2.111999988555908
2015-03-06,97.62000274658203,1164.0999755859375,49.61000061035156,15.199999809265137,5514.57275390625,2071.260009765625,2.240000009536743
2015-03-09,97.58999633789062,1166.4000244140625,50.0,15.0600004196167,5444.421875,2079.429931640625,2.194999933242798
2015-03-10,98.62000274658203,1160.0999755859375,48.290000915527344,16.690000534057617,5462.7158203125,2044.1600341796875,2.125999927520752
